name,subject,min_grade,max_grade,difficulty,prestige,roi,format,season,scope,prep_time_weeks,link
USACO,CS,8,12,4,5,5,online|individual,Year-round,national,12,
Codeforces Contests,CS,8,12,4,3,3,online|individual,Year-round,international,8,
Google Code Jam (archive practice),CS,8,12,5,4,3,online|individual,Year-round,international,10,
LeetCode Weekly Contest,CS,8,12,3,2,2,online|individual,Year-round,international,6,
AMC 10,Math,8,10,3,4,4,offline|individual,Winter,national,8,
AMC 12,Math,10,12,4,4,4,offline|individual,Winter,national,10,
AIME (qualifier),Math,9,12,5,5,5,offline|individual,Winter,national,14,
MathCounts,Math,6,8,3,3,4,offline|team,Winter,national,10,
Purple Comet Math Meet,Math,6,12,2,2,3,online|team,Spring,international,4,
ARML,Math,9,12,4,3,3,offline|team,Spring,national,12,
HMMT,Math,9,12,4,4,3,offline|team,Winter,national,12,
US Physics Olympiad (F=ma),Physics,9,12,4,4,4,offline|individual,Winter,national,12,
USNCO (Chemistry Olympiad),Chemistry,9,12,4,4,4,offline|individual,Spring,national,12,
USABO (Biology Olympiad),Biology,9,12,4,4,4,offline|individual,Spring,national,12,
Science Olympiad,STEM,9,12,4,4,4,offline|team,Spring,national,16,
Regeneron ISEF (path via fairs),STEM,9,12,5,5,5,offline|individual,Spring,international,24,
Conrad Challenge,STEM,8,12,3,4,4,hybrid|team,Spring,international,12,
Samsung Solve for Tomorrow,STEM,9,12,3,3,4,hybrid|team,Fall,national,10,
FIRST Robotics Competition (FRC),Robotics,9,12,4,4,4,offline|team,Spring,international,20,
FIRST Tech Challenge (FTC),Robotics,7,12,3,3,4,offline|team,Spring,international,16,
VEX Robotics Competition,Robotics,7,12,3,3,3,offline|team,Spring,international,14,
TSA (Technology Student Association),STEM,6,12,2,2,3,offline|team,Spring,national,8,
HOSA,Health,9,12,3,3,3,offline|team,Spring,national,10,
DECA,Business,9,12,3,3,3,offline|team,Winter,national,10,
FBLA,Business,9,12,3,3,3,offline|team,Spring,national,10,
Model UN,Humanities,8,12,2,2,2,offline|team,Year-round,regional,4,
National History Day,Humanities,6,12,3,3,3,offline|individual,Spring,national,10,
We the People,Civics,9,12,3,3,3,offline|team,Spring,national,12,
NAQT Quiz Bowl,Humanities,6,12,3,3,3,offline|team,Year-round,national,8,
Scholastic Art & Writing Awards,Arts,7,12,3,4,4,online|individual,Winter,national,8,
YoungArts,Arts,10,12,4,5,4,online|individual,Fall,national,10,
Doodle for Google,Arts,1,12,2,3,2,online|individual,Spring,national,4,
Constitution Day Essay Contest (local),Writing,8,12,2,2,2,online|individual,Fall,regional,3,
John Locke Essay Competition,Writing,9,12,4,4,3,online|individual,Summer,international,10,
The Concord Review (publication goal),Writing,9,12,5,5,4,online|individual,Year-round,international,16,
Poetry Out Loud,Arts,9,12,2,2,2,offline|individual,Winter,national,4,
Speech & Debate (NSDA),Debate,6,12,3,3,3,offline|individual,Year-round,national,12,
Mock Trial,Debate,9,12,3,3,3,offline|team,Winter,regional,10,
World Scholar's Cup,Humanities,6,12,2,2,2,offline|team,Year-round,international,6,
Hackathon (local/online),CS,8,12,3,3,3,hybrid|team,Year-round,regional,4,
Kaggle (beginner competitions),CS,8,12,3,3,3,online|individual,Year-round,international,8,
American Rocketry Challenge,STEM,9,12,4,4,4,offline|team,Spring,national,14,
ExploraVision,STEM,6,12,2,3,3,online|team,Winter,national,8,
Destination Imagination,STEM,3,12,2,2,2,offline|team,Spring,international,8,
Odyssey of the Mind,STEM,3,12,2,2,2,offline|team,Spring,international,8,
National Science Bowl,STEM,9,12,4,4,4,offline|team,Spring,national,12,
USAAAO (Astronomy/Astrophysics),Physics,9,12,4,4,4,online|individual,Winter,national,10,
USACO January Contest (practice),CS,8,12,4,4,4,online|individual,Winter,national,8,
